Question,Sub Quest/Answer,Question_Char_Length,Sub_QA_Char_Length,Question_Word_Length,Sub_QA_Word_Length
What is Investment Sales Feedback?,"Investment Sales Feedback is feedback or complaints about the sales practices of your OCBC Financial Advisor in relation to investment products like structured deposits, unit trusts, insurance and treasury products.",34,215,5,30
How will my Investment Sales Feedback be handled?,"We will be in touch within 2 working days of receiving your feedback. After that, if any mis-selling or misrepresentation of an investment product is involved, an independent unit that is not directly involved in providing any financial advisory services will be in touch. Within 20 working days, after investigation and review, we will provide a written reply. If we require more time for the investigation, we will let you know.",49,430,8,71
Will my Investment Sales Feedback be handled in an independent manner?,"Yes, an independent unit that is not directly involved in providing any financial advisory services will investigate and review your feedback fairly and promptly.",70,162,11,24
How can I submit my feedback or complaint on Investment Sales Feedback?,"Please email us atInvestmentSalesFeedback@ocbc.comso we may assist you.For immediate assistance, you may:Call us at+65 6363 3333Visit anyOCBC Bank branch",71,153,12,19
What is OCBC Money Lock?,"Our latest anti-scam security feature – OCBC Money Lock – allows you to lock some or all the funds in your account(s) to protect them from scams.You can, for example, lock funds that are in excess of what you need for regular or budgeted expenses.By locking your funds and releasing them when needed, you are adding an extra layer of protection from scams. For your security, your funds can only be released after we verify your identity.If you live in Singapore, you can release your funds at any OCBC ATMs, New ATMs and Service Kiosks (you will need an OCBC ATM/credit/debit card and its PIN) – choose this option to skip the queue – or an OCBC branch.If you are living overseas, you can submit a request, via the Secured Mailbox in the OCBC Digital app or Internet Banking, to have us release your funds. We will be in touch within 4 working days.Why should I use OCBC Money Lock?Scammers and cybercriminals often use tactics like malware attacks to gain access to your account(s) and/or payment information like your debit card details.By locking your funds, you are giving them an extra layer of protection against scammers and cybercriminals. This means that, even in the unlikely event where a scammer gains unauthorised digital access to your account(s), your locked funds will remain safe.Is it mandatory to use OCBC Money Lock and lock the funds in my account(s)?No. However, by locking funds that are in excess of what you need for regular or budgeted expenses (e.g. your everyday expenses and banking activities), you are adding an extra layer of protection from scams.Do I have to open a new account to use this feature?No. You can lock the funds in your existing current and/or savings account(s) seamlessly via the OCBC Digital app or Internet Banking.To ensure that you continue to enjoy the benefits of your account(s), your locked funds still count towards the account balance for the purposes of earning interest. For instance, locked funds in an OCBC 360 Account will count towards your account balance and earn bonus interest.If I do not use OCBC Money Lock, are my funds safe?We have a robustsuite of security featuresand other measures in place to protect your account(s) and funds from falling into the wrong hands. However, should incidents that are out of our control happen (e.g. your device is stolen or infected with malware), you now have an additional safeguard to protect your hard-earned money.Scammers are adept at finding new and sophisticated ways to break into personal devices and online banking accounts, and in tricking people into revealing personal and banking details. By locking your funds, you can stay one step ahead and have greater peace of mind   – because your funds can only be released after we verify your identity.",24,2768,5,466
What must I know before using OCBC Money Lock?,"Locking fundsYou can only lock the funds in your current and/or savings account(s) via secure channels – the OCBC Digital app and Internet Banking.Do not have OCBC Digital app? Download it from the following official app stores:Apple App Store,Google Play Store,Huawei AppGallery. You can also scan the QR code below to download it:Please follow thisstep-by-step guideto set up your OCBC Digital app or Internet Banking access.Your locked funds cannot be used for GIRO, scheduled or recurring payments, or to pay account fees.You may not access your locked funds until you release them. Do keep enough available balance to avoid late fees and charges.Releasing fundsFor your security, your funds can only be released after we verify your identity.For OCBC Singapore customers living in SingaporeYou can instantly release your funds at any OCBC ATMs, New ATMs and Service Kiosks  (you will need an OCBC ATM/credit/debit card and its PIN) – choose this option to skip the queue – or an OCBC branch.No card? Apply for a credit card via the OCBC Digital app and Internet Banking or a debit card via OCBC Internet Banking.Card expired or misplaced?Request a replacement cardvia the OCBC Digital app.Forgot your card’s PIN?Reset itvia the OCBC Digital app or Internet Banking.For OCBC Singapore customers living overseasYou can release your funds by submitting a request via the Secured Mailbox in the OCBC Digital app or Internet Banking. We will call you within 4 working days.Your funds will only be released after we verify your identity through the phone call.If you have plans to go overseas and may need to access your locked funds during that period, we encourage you to release your funds at an OCBC ATM before leaving.What happens when my funds are locked?When your funds are locked, they cannot be used for:New or existing payment arrangements (e.g. GIRO, standing instructions or future-dated transfers)Transfers to another OCBC accountTransfers to another bank’s account (e.g. local and overseas transfers))Bill or credit card paymentsFixed deposit placements or investmentsInsurance purchases or paymentsLoan or tax repaymentsATM withdrawals or transfersYou may not access your locked funds until you release them. Do keep enough available balance to avoid late fees and charges. Certain transactions (e.g. fees for unsuccessful GIRO deductions and SimplyGo payments) may still be deducted if needed.I do not have an OCBC ATM, credit or debit card. What should I do?If your card has been misplaced, you can request a replacement card by accessing the ‘Card Services’ feature in the OCBC Digital app. The feature is available from 5am to 9.30pm (Singapore time) from Mondays to Saturdays. Your replacement card will be mailed to the address in our records within 5 working days.Please follow thisstep-by-step guideto request a replacement card via the OCBC Digital app.If you do not have a card, you may apply for:A credit card via the ‘Apply’ feature in the OCBC Digital app, Internet Banking or onour website; orA debit card via the ‘Apply’ feature in OCBC Internet Banking or onour website.Your credit or debit card will be mailed to the address in our records within 7 working days of having your application approved.I have an OCBC ATM, credit or debit card but I have forgotten its PIN. What should I do?Here is how you can reset your card’s PIN:Via the OCBC Digital app: Log in to the OCBC Digital app > Tap the menu icon at top left > Card Services > Reset card PINVia OCBC Internet Banking: Log in to OCBC Internet Banking > Customer Service > Card services > Reset card PIN",46,3590,9,585
LOCKINGHow much funds can I lock?,"You can lock some of or all your funds – in multiples of S$10 – in your existing current and/or savings account(s). You may not access these funds until you release them.Please note that:As you cannot use locked funds for GIRO, scheduled or recurring payments, or to pay account fees, do keep enough available balance to avoid late fees and charges.How can I lock my funds using OCBC Money Lock?You can lock the funds in your existing current and/or savings account(s) seamlessly via two secure channels – the OCBC Digital app and Internet Banking.Please follow thesestep-by-step guidesto lock the funds in your existing current and/or savings account(s).How long will it take for my Money Lock request to be processed?You request will be processed immediately. We will send you a push notification/SMS and email informing you that your funds have been locked.I have not downloaded the OCBC Digital app and/or do not have access to OCBC Internet Banking. How else can I lock my funds??Currently, OCBC Money Lock is only available via the OCBC Digital app and Internet Banking.We strongly encourage you to download the OCBC Digital app to access OCBC Money Lock and other important security features.Click hereto learn more about the OCBC Digital app.You can download the OCBC Digital app from theApple App Store,Google Play Store,orHuawei AppGallery.Alternatively, you can apply for OCBC Internet Banking bytaking these steps.How do I increase the amount locked in my account(s)? Can I submit multiple requests to lock funds in the same account(s)?You can increase the amount locked in your account(s) anytime. You do not need to release your locked funds first.For example, if you decide to lock S$1,000 in your account today and increase that locked amount to S$2,000 tomorrow, all you have to do is submit another request via the OCBC Digital app or Internet Banking. Your funds will be locked immediately and your locked amount updated to S$2,000.Please follow thisstep-by-step guideto increase the amount of funds locked in your account.I have locked my funds using OCBC Money Lock. Will the locked amount count towards my account balance for the purposes of earning interest?Yes. Funds under OCBC Money Lock will count towards the account balance for the purposes of earning interest.RELEASINGI am an OCBC Singapore customer living in Singapore. How do I release my funds?OCBC Singapore customers living in Singapore can release their funds securely at any OCBC ATMs, New ATMs and Service Kiosks (you will need an OCBC ATM/credit/debit card and its PIN) – choose this option to skip the queue – or an OCBC branch.Your funds will be released instantly and in full.Please follow thisstep-by-step guideto release your funds at an OCBC ATM.Damaged or lost your card?Request a replacement card via ‘Card services’ in the OCBC Digital app. The card will be mailed to the address in our records within 5 working days. Please follow thisstep-by-step guideto request a replacement card via the OCBC Digital app.Do not have an OCBC card?Apply for:A credit card via the ‘Apply’ feature in the OCBC Digital app, Internet Banking or onour website; orA debit card via the ‘Apply’ feature in OCBC Internet Banking or onour website.A credit or debit card will be mailed to the address in our records within 7 working days of having your application approved.Forgot your card’s PIN?Reset it:Via the OCBC Digital app: Log in to the OCBC Digital app > Tap the menu at top left > Card Services > Reset card PINVia OCBC Internet Banking: Log in to OCBC Internet Banking > Customer Service > Card services > Reset card PIN",33,3606,6,592
What   accounts can Money Lock be used for?,"You can lock your money using the Money Lock feature in any SGD and foreign currency savings or current account, including:360 AccountFrank AccountBonus+ Savings AccountMonthly Savings AccountMighty Savers® AccountUSD Current AccountGlobal Savings AccountPassbook Savings AccountStatement Savings AccountCurrent AccountI have an OCBC 360 Account or another savings account. Will I continue to earn the same interest if I lock some or all of my funds?Yes, you will. Your locked funds still count towards the account balance for the purposes of earning interest. For instance, locked funds in an OCBC 360 Account will count towards your account balance and earn bonus interest.",43,675,8,100
"Can I use my locked funds to make GIRO, scheduled or recurring payments?","No. When your funds are locked, you cannot use them for:New or existing payment arrangements (e.g. GIRO, standing instructions or future-dated transfers)Transfers to another OCBC accountTransfers to another bank’s account (e.g. local and overseas transfers)Bill or credit card paymentsFixed deposit placements or investmentsInsurance purchases or paymentsLoan or tax repaymentsATM withdrawals or transfersYou may not access your locked funds until you release them. Do keep enough available balance to avoid late fees and charges.What happens if charges to my account exceed my available balance (i.e. funds that are not locked)?Please ensure that you keep enough available balance in your account for all your expenses and payment arrangements. If a scheduled payment cannot be made due to insufficient funds, you may incur late fees and charges. For such fees and charges, please refer to your account’s Terms and Conditions.",72,927,13,137
How do I lock my funds?,"I am an OCBC Singapore customer living overseas. You can lock the funds in your existing current and/or savings account(s) anywhere. Just use the OCBC Digital app or Internet Banking.Please follow thesestep-by-step guidesto lock the funds in your existing current and/or savings account(s).I am an OCBC Singapore customer living overseas. How do I release my funds?OCBC Singapore customers living overseas can release their funds by submitting a request via the Secured Mailbox in the OCBC Digital app or Internet Banking.Here’s how it works:To submit a request to release your funds, go to the Secured Mailbox in the OCBC Digital app or Internet Banking and select ‘Money Lock Release Funds’ from the dropdown menu. Then, indicate in your message that you live overseas.Please follow thisstep-by-step guideto release your funds if you are not in Singapore.Once you submit your request, an OCBC staff member will call you within 4 working days to verify your identity. Please ensure that your mobile number in our records is up to date before submitting a request.If we are unable to reach you, we will send a message to your Secured Mailbox. Please check your mailbox frequently for updates on your request.Please note that:You must select ‘Money Lock Release Funds’ from the dropdown menu when submitting a request via Secured Mailbox. If not, we regret it may take a longer time for us to process your request.We will only process requests – via Secured Mailbox – to release funds from OCBC Singapore customers living overseas. If you are living in Singapore, please release your funds at any OCBC ATMs, New ATMs and Service Kiosks, or an OCBC branch.Before using OCBC Money Lock, please ensure that you are able to wait at least 4 working days for your funds to be released. We regret that we will not be able to process any requests to release funds via our hotline, or at an OCBC branch or ATM overseas.How long will it take for my funds to be released?After you submit your request, we will be in touch within 4 working days to verify your identity. After which, your funds will be released.",23,2098,6,354
"Which OCBC ATMs, New ATMs and Service Kiosks can I visit to release my funds?","You may release your funds at any OCBC ATM, New ATM or Service Kiosk. Locate the nearest ATMhere.",77,97,15,18
What are the additional measures on OCBC Digital Banking?,"Here are the measures you should take note of.OCBC Digital app, OCBC Online Banking and OCBC Pay Anyone™ appOnline RequestNew MeasuresLocal and overseas fund transfers/Bill payments(excluding PayNow, NETS QR, PromptPay QR, DuitNow QR and PromptPay PayNow payments*)Authorisation limit will be changed to S$1,000.You will need to use your fully activated OCBC OneToken or hardware token to authorise a transaction when its amount is equal to or above the authorisation limit.Change of authorisation limitsNo longer available via OCBC Digital Banking. You will not be able to change these authorisation limits.*The authorisation limit for PayNow, NETS QR, PromptPay QR, DuitNow QR and PromptPay PayNow transactions remains at S$200.01.OCBC Digital app, OCBC Online BankingOnline RequestNew MeasuresAdd payee(OCBC or other banks)A cooling period will apply before such key account changes take effect. Please be guided by the on-screen instructions.Update phone number/emailIncrease transaction limitOCBC Pay Anyone™ appOnline RequestNew MeasuresSet up/reactivate biometrics loginORReinstalling of app by existing biometrics login userOnce biometrics login is set up, you will be logged out.When you next log in, key in the One-Time Password sent to you via SMS to activate biometrics login.Updating of the app by existing biometrics login userWhen you next log in, key in the One-Time Password sent to you via SMS to reactivate biometrics login.Update email addressNo longer available.Manage daily transfer limitWhy do I need to wait for the cooling period to be over before key account changes take effect?This is intended to protect customers from scammers seeking to make unauthorised transactions. For your security, the cooling period cannot be shortened.If I need to urgently transfer funds to a new payee (OCBC or other banks), what should I do?You may use PayNow to transfer funds using the payee’s NRIC or FIN or mobile number. Do note that PayNow has a default daily limit of SGD 1,000.Alternatively, you may visit any of our ATMs to perform a funds transfer. There is a fixed daily limit of SGD 5,000 and a monthly limit of SGD 25,000 for funds transfers performed at ATMs via FAST (to OCBC or other bank accounts).How do I change a daily transaction limit via OCBC Digital app?Step 1: Log in to OCBC Online BankingStep 2: Go to Customer service > Manage transaction limitsStep 3: Review and confirm the new limitStep 4: Authorise the change using OCBC OneToken (on your mobile device) or your hardware tokenHow do I change a daily transaction limit via the OCBC Online Banking?Step 1: Log in to the OCBC Digital appStep 2: Tap on the menu icon at top left corner > Transfers & Payments > Transaction LimitsStep 3: Review and confirm the new limitStep 4: Authorise the change using OCBC OneToken (on your mobile device) or your hardware tokenWhat is the authorisation limit used for?If a transaction amount is equal to or above the authorisation limit, you will be required to authorise the transaction using your fully activated OCBC OneToken or hardware token.Is the authorisation limit the same as the daily transaction limit?No, they are different limits. The daily transaction limit refers to the total amount which you can pay or transfer each day. You can set your daily transaction limit for funds transfers/payments according to your preference.The authorisation limit applies to each transaction you make. If the transaction amount is equal to or above the authorisation limit, you will be required to authorise the transaction using your fully activated OCBC OneToken or hardware token. The authorisation limit is fixed and cannot be changed.How do I authorise a transfer or payment above the authorisation limit using my OCBC OneToken or hardware token?For OCBC OneToken users:Step 1: Ensure that you have fully activated your OCBC OneToken. If you have not done so, please complete the activation using your card PIN or the Token Key (this will be mailed to you). Wait for 12 hours – this period cannot be shortened – for your OCBC OneToken to be fully activated.Step 2a: If you are using the OCBC Digital app, authorisation of the transfer/payment will take place automatically within the app. You do not need to key in any codes.Step 2b: If you are using OCBC Online Banking or the OCBC Pay Anyone™ app, you will receive a push notification – tap on the push notification and select ‘Confirm’ to authorise the transaction.For Hardware token users:Step 1: Press the ‘SIGN’ button to turn on the token.Step 2: Enter the code displayed on OCBC Digital app, OCBC Online Banking or OCBC Pay Anyone™ app into your token.Step 3: Press the ‘SIGN’ button on the token again to generate a code.Step 4: Enter the 6-digit code into OCBC Digital app, OCBC Online Banking or OCBC Pay Anyone™ app to authorise the transaction.Can I change the authorisation limits?For your security, the authorisation limits cannot be changed.How do I change my transaction e-Alerts threshold limits for ATM & Card transactions?You can change the default threshold limit to your preferred threshold limit:Via Internet Banking:Log in to OCBC Internet BankingSelect “Customer service” in the top navigation barSelect “Manage e-Alerts”Select either “ATM transactions” or “Card transactions”Click on “Set Threshold”Select your preferred threshold limit and channel of notification (SMS/Push Notification/Email)Via OCBC Digital:Log in to OCBC Digital appSelect “Card Services"" from left menuSelect “Manage cards e-Alerts“Select the transaction category you wish to change (e.g. “Local, Overseas"")Select the card which you wish to changeSelect your preferred threshold limit and channel of notification (SMS/Push Notification/Email)We recommend that you either keep to the default threshold or set a lower threshold limit for your transaction alerts to help you monitor and spot any unauthorised transactions on a timely manner. If you set it at a higher threshold than the default threshold, it will mean that you will not be notified of any transaction below the default threshold. This may have an impact on your liability for losses arising from unauthorised transactions above the default threshold.For more information on your liability for losses arising from unauthorised transactions, please refer to theFAQ on E-Payments User Protection Guidelines by ABS.How do I change the notification channel for my transaction alerts?Transaction alerts are sent to you via SMS/Push Notifications/Email. You may wish to select your preferred channel of notification with the following steps:OCBC Digital app:Log in to OCBC Digital app with your Access Code and PIN/Biometrics/SingpassDeposit e-Alerts:Select “You have”Select “Manage"" under AccountsSelect “Manage deposit e-Alerts“Select the deposit account which you wish to changeSelect your preferred channel of notification (SMS/Push Notifications/Email)Card e-Alerts:Select “Card Services"" from left menuSelect “Manage cards e-Alerts“Select the transaction category you wish to change (e.g. “Local, Overseas"")Select the card which you wish to changeSelect your preferred channel of notification (SMS/Push Notifications/Email)OCBC Online Banking:Log in to OCBC Online Banking via your PC/desktopSelect “Customer service” in the top navigation barSelect “Manage e-Alerts”Select the transaction category you wish to change (e.g. ""Online Banking Funds Transfer"")Select your preferred channel of notification (SMS/Push Notifications/Email)Protect yourself against scams. We urge you to continue to stay vigilant at all times.To safeguard your accounts, it is important for you to adopt good security practices:Never click on links in SMSes or emails.  Emails and SMSes sent by us will not contain any clickable URLs.Beware of SMS scams which direct you to call a fake hotline. Do not call any numbers given in SMSes.Call only the Bank’s Personal or Premier Banking hotline: OCBC website > Contact us.  Our hotline number can also be found at the back of your debit/credit/ATM card.Use only the official OCBC Digital app or OCBC Pay Anyone™ app, or go to the OCBC website > Login > Personal Banking.Never provide your Access Code, PIN, card details or One-Time Password (OTP) to anyone. Do not key such information into unverified webpages.If you are using OCBC OneToken, carefully read the authorisation message sent to you via push notification. Do not provide OCBC OneToken authorisation without knowing the purpose of the transaction or login.Do not transfer money to strangers. When in doubt, get advice from a family member or friend.Read the transaction notification alerts sent from the Bank carefully. Notify us immediately if you find any suspicious transactions.Read more on the latest scam alert on ourSecurity Advisory page.Scammers are constantly evolving their scam tactics. To avoid falling prey to scammers, please visit theScam Alert.sgwebsite to learn more about the tell-tale signs of the different types of scams and the latest scam tactics – such as impersonation scams, investment scams, job scams, love scams, ecommerce scams and identity theft scams.",57,9106,9,1392
Your ActivityWhat is “Your activity” on the Account Summary dashboard?,"We are constantly enhancing the mobile banking experience and cannot wait to get the cool new stuff out for you to enjoy! This is why we are progressively building and releasing these updates. We hope that you enjoy the new experience, and encourage you share your feedback with us.You can view all your latest transactions across all your Current, Savings and card accounts at one glance in “Your activity”. This includes your last 7 transactions from the past 7 days (including today).Tap on “See more” to view all transactions from the past 7 days. You may also tap on a transaction to view more details, as well as links to actions such as viewing overall spending activity onMoney In$ightsor toDispute this Transaction(applicable for credit cards).Please note that only posted transactions will appear in “Your activity”, as well as in account transaction history (see point 4 below). There may be a lead time between when the transaction is performed and shown on the dashboard.How do I view my transaction history for individual accounts from the Account Summary dashboard?You can view details and transaction history (past 6 months) of individual accounts through either of these:Tap onYou have / You owe> Select a Current/Savings account or cardTap on “See more” beside “Your activity” > Tap on thefilter buttonbeside “View all transactions” > Select a Current/Savings account or cardHow can I view more details for a transaction?Tapping on the individual transactions, will launch a pop-up with details, such as merchant and transaction date, and links to “Money Insights” and “Dispute this Transaction” (applicable for credit cards).Why are transaction details shown partially in my account transaction history, whereas I can view all transaction details in “Your activity” on the Account Summary dashboard? (for 1-factor authentication customers)Your transaction details are shown fully in “Your activity” on the Account Summary dashboard to provide you with quick access to your most recent transactions. We are working towards rolling this out for the account transaction history interface.InsightsWhy am I not getting these personalised insights that others are seeing? Is it exclusive to some customers only?These personalised insights are not exclusive, customers may receive them when certain criteria are met.What is SRS contribution insight about? Does it include details such as balance to contribute?The insight is a reminder that you have contributed to your SRS last year, but have yet to do so this year. Therefore, the insight serves as a reminder to you.I have already acted upon the personalised insight, why do I still see it?Your personalised insights will only be refreshed by the first week of each month.I want to stop receiving these personalised insights, can I turn them off?Currently there is no available function to turn off the insights, but this option will be made available in the future.For the Food and Drink report, are food delivery services such as GrabFood included?Yes, the transactions listed within the Food and Drink report will include such merchants.FRANKI have a FRANK product, why can’t I see the FRANK skin?The FRANK skin is currently available to our Personal Banking customers between the age of 16 to 29 years old, holding an eligible FRANK product, i.e. FRANK account, FRANK debit or credit card. This excludes Premier and PPC customers.Will I still see the FRANK skin after I close my FRANK account?The FRANK skin will be made available as long as you have an eligible FRANK product linked to your Access Code, which includes FRANK credit or debit card.I wish to revert to the original OCBC Digital app without the FRANK skin, how do I do it?Tap on the top left menuTap on ""Profile & Settings"" > Tap on “Online Banking settings” > Tap on the toggle button beside “FRANK theme”Why do some screens on the OCBC Digital app look slightly different from the rest?We are progressively updating the app with the redesigned interface and new look, starting with the Welcome screen, Notification inbox, Account Summary dashboard, All transactions page, Main menu, Current and Savings account, and card details. Other sections will be updated with the new designs over time.Can I customise the buttons on the quick access bar on Welcome screen and Account Summary dashboard?No, these buttons are not customisable. The buttons are selected by the bank to give customers access to commonly-performed and important transactions and services on the app.I do not like the new version of the app. How do I switch to the previous version?Once you update to the latest version, you cannot revert to previous versions of the app. However, we are happy to take your feedback and improve the app further.Must I upgrade to the latest version in order to continue using the OCBC Digital app? Can I continue with the current version?You can continue using the current version on your mobile device with no disruption to your experience. However, we may require you to update to the latest version in the future for your security – you will be informed via a pop-up on the app then.",70,5120,10,831
Is this a phishing website?,"No, please note that this is the new look and feel for OCBC Online Banking. To ensure you are accessing the correct website, please always type inwww.ocbc.com/logininto your browser’s address bar. The Online Banking pages are secure and information transmitted from your computer to our systems are encrypted which is indicated by the ""closed lock"" icon on the address bar.Is the OCBC Online Banking safe?We have put in place necessary security practices and measures to safeguard against risks such as online theft of credentials, virus attacks, hacking, unauthorised access and fraudulent transactions. However, to ensure your online security and account information are not compromised, we recommend that you follow theOCBC Online Banking security guidelines.I am unable to login to the OCBC Online Banking. What should I do?Please follow the stepshereWhat are the recommended browsers and screen resolution to access the new OCBC Online Banking?The site is best viewed with screen resolution of 1024px by 768px with the following browsers.Microsoft EdgeFirefox latest 10 versionsSafari version 9 or laterChrome latest 10 versionsMAC OS version 10.11 and aboveAs of 15 June 2022, Microsoft is ending support for Internet Explorer and retiring the browser. Please use the latest version of one of the recommended browsers above for a smooth and secure experience on the OCBC website and OCBC Online Banking.",27,1409,5,216
