Question,Sub Quest/Answer,Question_Char_Length,Sub_QA_Char_Length,Question_Word_Length,Sub_QA_Word_Length
Apply for Digital Banking,"Check out our step-by-step guide toapply for OCBC Digital Bankingwith your phone or other devicesVia OCBC Digital BankingGo toocbc.com/ApplyNowFill in the details and submit the online formYou will get instant access to OCBC Digital Banking.By mailDownload or collect and complete theonline banking application formfrom our branches.Mail it to:Oversea-Chinese Banking Corporation LtdAccount ServicesBras Basah Post OfficeLocked Bag Service No. 8Singapore 911886At any of our branchesVisit any of our branches, apply for OCBC Digital Banking and you can get your Access Code and PIN instantly. Start accessing OCBC Digital Banking immediately.",25,642,4,89
Change personal details,Refer to thesestepsto update via OCBC Digital Banking.,23,54,3,8
Fees and charges,"OCBC Digital Banking is free of charge. However, standard transactional fees for some banking services may apply.View fees and charges guidehere.",16,145,3,21
Credit card fee waiver,"To submit a card waiver request, please use any of the following options:Via the OCBC Digital app: Tap on top left menu > Card Services > Request fee waiver.Via OCBC Online Banking: At the top menu, select Customer Service > Card services > Request credit card fee waiver.Your waiver request is subject to approval. You will be notified of the outcome via SMS in a few minutes.",22,377,4,67
Eligibility for OCBC Online Banking,"To apply for OCBC Online Banking, you should be an existing principal card holder of an OCBC credit card, or have at least one of the following OCBC accounts:Savings AccountCurrent AccountForeign Currency Call AccountForeign Currency Checking AccountCPF Investment AccountSupplementary Retirement Scheme (SRS) Account",35,317,5,43
Logging in to OCBC Online Banking/OCBC Digital app for the first time,"1. Download the OCBC Digital app on your mobile deviceFor Apple iPhone usersFor Android usersFor HuaWei usersEnter your access code and PINYou'll then be asked for a One-Time password (OTP) which will be sent to you either throughSMS or Hardware Token, depending on the token option which you have signed up forHardware token – Enter the OTP shown on the screen (if you chose this option, we would have mailed the hardware token to you).SMS token – Enter the OTP shown on your mobile phone.2. Log in to Online Banking via PC/desktopGo toocbc.com/loginEnter your access code and PINYou'll then be asked for a one-time password (OTP) which will be sent to you either throughSMS or Hardware Token, depending on the token option which you have signed up forHardware token – Enter the OTP shown on the screen (if you chose this option, we would have mailed the hardware token to you).SMS token – Enter the OTP shown on your mobile phone.If you have any questions about your token or login, call us at 1800 363 3333 (+ 65 6363 3333 if you’re calling from overseas).You can also access via our OCBC Digital app available for the iPhone or Android devices. Alternatively, you can also visit us atocbc.com/loginon your smartphone’s browser.Here are the steps:Go toocbc.com/getonlineFill in your ATM/credit/debit card details (Last 8 digits of card no. & 6-digit PIN)Fill in your personal details, enter the generated captcha and tap on “Next”Accept the Terms & ConditionsCreate and confirm your new Online Banking PINTap on “Submit” to confirm your mobile no.Tap Next on One Token introduction page* to complete Transaction*This is only introduction page which will not result to any OCBC OneToken registration on your newly created access code. You will still be required to login to OCBC Digital app to proceed with OneToken registration.",69,1831,12,302
Change Online Banking Access Code or PIN,"Follow these steps below.Change Online Banking Access CodeYou can change your Online Banking Access code via OCBC Online Banking or OCBC Digital app and it will take effect immediately.OCBC Digital app:Launch the OCBC Digital app.Tap on the menu bar on the top left of the screen.Tap on ""Profile & Settings""Select ""Online Banking settings"".Tap on “Change Access Code”.Enter your preferred access code.Tap on “Submit” to proceed.Enter One-Time Password (OTP)* and tap “Submit” to complete the transaction.OCBC Online Banking:Login to online banking (ocbc.com/login).Click “Customer Service” in the top navigation bar.Select “Change Access Code”.Enter ‘Preferred access code’.Click “Submit” to proceed.Enter One-Time Password (OTP)* and tap “Submit” to complete the transaction.Change Online Banking PINLogin to online banking (ocbc.com/login).Click “Customer Service” in the top navigation bar.Select “Change PIN”.Enter your current and new PIN – 6 digit PIN.Click “Submit” to proceed.Enter One-Time Password (OTP)* and tap “Submit” to complete the transaction.If you have activated OCBC OneToken, you will not be required to enter OTPs for OCBC Digital app as authentications will take place seamlessly in the background. For OCBC Online Banking, you will need to click ""Accept"" on One Token push notification sent to your mobile device to authenticate your transaction. Please visitocbc.com/onetokenfor more information.",40,1421,7,199
Reactivate your 2FA,You will need to reactivate your token if you have exceeded the maximum number of attempts to submit a valid one-time password (OTP) for login to OCBC Digital app or OCBC Online Banking.You may call us at1800 363 3333or(65) 6363 3333if you are calling from overseas.,19,266,3,46
Additional security with 2FA,"2-Factor Authentication (2FA) is a security measure that provides greater peace of mind when you bank online, you can choose to log in using SMS or Hardware token. If you have activated OCBC OneToken, you will not be required to enter OTPs as authentications will take place seamlessly in the background. For OCBC Online Banking, you will need to click ""Accept"" on One Token push notification sent to your mobile device to authenticate your transaction.More about 2FA.",28,468,4,77
Access OCBC Online Banking on a public computer,We do not encourage the access of online banking using a public or shared PC as you’re more exposed to malicious programs or viruses.,47,133,8,24
